10,1000,,,,,,,,,,,,
16,71.26,24,71.16,48,0,,,16,71.26,32,175.77,48,2.46
18,44.28,28,95.79,54,0,,,18,44.28,36,142.31,54,2.31
20,26.59,32,109.54,60,0,,,20,26.59,40,74.68,60,1.26
22,14.22,36,78.19,66,0,,,22,14.22,44,33.04,66,0.64
24,7.01,40,20.31,72,0,,,24,7.01,48,14.37,72,0.46
26,3.61,44,3.52,78,0,,,26,3.61,52,6.44,78,0.15
28,1.78,48,3.03,84,0,,,28,1.96,56,2.95,84,0.07
30,0.63,52,1.79,90,0,,,30,0.97,60,1.31,90,0.04
32,0.54,56,1.07,96,0,,,32,0.73,64,0.68,96,0.01
34,0.19,60,0.57,102,0,,,34,0.36,68,0.62,102,0.01
  ,  ,  ,  ,  ,  ,,,,,,,,
